"Local Government Area","Recyclables","Policing","Volunteers","Public Services","Workers","Love","Teachers","Health Facilities","Public Transport","Child Safety"
"Alpine Shire Council",348,563,263,656,1187,278,409,1153,728,676
"Ararat Rural City Council",189,639,270,567,1075,456,470,1287,541,844
"Ballarat City Council",464,653,339,641,1140,425,506,1320,463,780
"Banyule City Council",278,618,363,805,1154,310,483,1320,370,676
"Bass Coast Shire Council",376,626,318,633,1105,401,373,1220,589,791
"Baw Baw Shire Council",260,612,309,684,1246,346,540,1353,654,686
"Bayside City Council",251,555,333,912,1218,239,415,1253,344,612
"Benalla Rural City Council",313,627,287,583,981,502,387,1320,571,724
"Boroondara City Council",263,557,315,928,1218,214,524,1187,330,594
"Brimbank City Council",463,644,440,506,787,327,405,1487,395,700
"Buloke Shire Council",100,536,140,609,1189,262,518,1187,711,661
"Campaspe Shire Council",343,606,295,600,1043,384,481,1320,645,700
"Cardinia Shire Council",341,602,367,748,1016,374,456,1487,565,735
"Casey City Council",263,583,413,704,937,368,418,1487,484,768
"Central Goldfields Shire Council",308,620,314,454,851,466,476,1387,554,860
"Colac Otway Shire Council",279,615,303,601,1095,409,448,1353,571,834
"Corangamite Shire Council",139,550,256,654,1240,283,515,1220,703,779
"Darebin City Council",288,642,393,665,941,335,323,1387,331,670
"East Gippsland Shire Council",106,627,294,586,1075,516,393,1320,660,844
"Frankston City Council",280,669,399,680,937,433,404,1387,440,799
"Gannawarra Shire Council",284,573,227,587,1201,392,417,1253,702,761
"Glen Eira City Council",336,548,358,859,1135,242,387,1287,330,602
"Glenelg Shire Council",400,620,265,591,1048,373,421,1353,605,670
"Golden Plains Shire Council",536,520,328,762,1217,226,263,1453,730,643
"Greater Bendigo City Council",472,614,330,647,993,390,446,1320,502,764
"Greater Dandenong City Council",364,665,436,430,610,382,454,1420,354,809
"Greater Geelong City Council",223,615,358,671,910,351,460,1253,424,745
"Greater Shepparton City Council",202,670,344,570,924,503,492,1387,519,796
"Hepburn Shire Council",466,549,273,638,1228,289,313,1453,694,674
"Hindmarsh Shire Council",548,550,186,557,1156,264,475,1320,655,639
"Hobsons Bay City Council",285,616,394,693,1088,325,397,1387,381,669
"Horsham Rural City Council",576,658,253,657,1203,516,447,1220,513,757
"Hume City Council",452,639,432,570,859,404,466,1487,431,705
"Indigo Shire Council",255,534,248,713,1170,261,368,1453,710,663
"Kingston City Council",308,590,388,781,1033,288,376,1353,339,643
"Knox City Council",234,591,376,810,1134,303,361,1420,364,650
"Latrobe City Council",209,726,362,540,1006,590,410,1387,479,890
"Loddon Shire Council",565,610,213,526,990,288,371,1353,707,857
"Macedon Ranges Shire Council",214,560,309,824,1270,305,460,1320,682,617
"Manningham City Council",212,545,369,864,1069,242,379,1353,376,597
"Mansfield Shire Council",510,583,259,718,1230,281,377,1320,727,597
"Maribyrnong City Council",451,668,399,625,981,324,343,1353,343,659
"Maroondah City Council",270,596,355,796,1102,296,415,1387,361,640
"Melbourne City Council",600,920,348,752,1156,311,255,920,333,674
"Melton Shire Council",350,617,428,694,955,362,401,1520,447,724
"Mildura Rural City Council",311,665,338,529,963,559,503,1287,525,807
"Mitchell Shire Council",282,630,349,679,948,418,474,1353,624,662
"Moira Shire Council",278,567,302,571,1025,310,450,1320,644,699
"Monash City Council",234,567,373,799,1230,256,428,1353,332,614
"Moonee Valley City Council",366,606,385,755,1102,278,480,1187,347,639
"Moorabool Shire Council",420,582,342,709,1098,314,443,1420,627,758
"Moreland City Council",407,618,393,684,967,297,290,1353,334,643
"Mornington Peninsula Shire Council",196,594,356,744,1101,336,443,1287,551,728
"Mount Alexander Shire Council",278,583,243,648,1043,327,345,1253,638,685
"Moyne Shire Council",222,621,245,731,1283,266,284,1453,705,673
"Murrindindi Shire Council",283,565,258,682,1136,294,347,1287,716,690
"Nillumbik Shire Council",372,540,333,930,1310,239,471,1387,534,590
"Northern Grampians Shire Council",303,609,275,535,1110,415,390,1220,580,705
"Port Phillip City Council",480,666,356,850,1144,286,240,1220,338,673
"Pyrenees Shire Council",455,583,260,541,1159,247,253,1487,710,735
"Queenscliffe Borough Council",390,536,201,819,1224,190,294,1187,466,595
"South Gippsland Shire Council",245,560,262,687,1268,333,449,1353,705,682
"Southern Grampians Shire Council",165,600,238,675,1115,373,526,1353,571,715
"Stonnington City Council",400,631,343,894,1216,242,344,1087,330,609
"Strathbogie Shire Council",328,562,263,615,1131,262,330,1320,690,646
"Surf Coast Shire Council",212,559,286,852,1231,239,311,1287,605,636
"Swan Hill Rural City Council",446,638,288,565,1151,546,500,1320,583,762
"Towong Shire Council",550,556,187,678,1090,288,511,1287,718,708
"Wangaratta Rural City Council",474,629,300,642,1043,403,495,1287,547,708
"Warrnambool City Council",485,579,309,660,1141,403,528,1220,441,723
"Wellington Shire Council",251,654,304,625,1176,392,460,1320,631,756
"West Wimmera Shire Council",300,535,149,653,1251,247,420,1220,705,692
"Whitehorse City Council",208,562,340,814,1063,242,406,1287,330,628
"Whittlesea City Council",366,619,437,660,937,362,349,1453,428,663
"Wodonga City Council",291,623,343,626,964,445,506,1387,521,848
"Wyndham City Council",356,603,415,721,1004,343,427,1487,468,686
"Yarra City Council",425,729,338,735,974,292,313,1153,330,674
"Yarra Ranges Shire Council",359,565,346,780,1107,299,459,1420,511,629
"Yarriambiack Shire Council",351,552,170,571,1136,338,463,1153,709,681
