,"wiki.url","wiki.summary","img_url","img_fn","img_status","img_list",
"Myrtleford","https://en.wikipedia.org/wiki/Myrtleford","Myrtleford is a town in Victoria, Australia. It is located in the northeast of the state, 274 km northeast of Melbourne and 46 km southeast of Wangaratta. Myrtleford is part of the Alpine Shire local government area and at the 2011 census the town had a population of 3,181.","https://upload.wikimedia.org/wikipedia/commons/3/3e/MyrtlefordVicTobaccoDryingHut.JPG","Myrtleford.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/3/3e/MyrtlefordVicTobaccoDryingHut.JPG', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Myrtleford.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Australia_Victoria_Alpine_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg']",
"Bright","https://en.wikipedia.org/wiki/Bright,_Victoria","Bright (pronunciation [ˈbɹɑet̥]) is a town in northeastern Victoria, Australia, 319 metres above sea level at the southeastern end of the Ovens Valley. At the 2011 census, Bright had a population of 2,165. It is in the Alpine Shire local government area. Its postcode is 3741.","https://upload.wikimedia.org/wikipedia/commons/8/8a/Bright_Bills_Horse_Trough.JPG","Bright.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/8/8a/Bright_Bills_Horse_Trough.JPG', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Township_of_Bright.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Bright_War_Memorial_001.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Bright%2C_Vic_autumn.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Australia_Victoria_Alpine_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/en/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg']",
"Porepunkah","https://en.wikipedia.org/wiki/Buckland_River_(Victoria)","The Buckland River, a perennial river of the North-East Murray catchment of the Murray-Darling basin, is located in the alpine region of Victoria, Australia. It flows from the eastern slopes of the Buffalo Range in the Australian Alps, joining with the Ovens River at Porepunkah.

","https://upload.wikimedia.org/wikipedia/commons/b/be/Fairleys_Creek_gold_mine.jpg","Porepunkah.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/b/be/Fairleys_Creek_gold_mine.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Buckland_River%2C_Victoria.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Australia_Victoria_relief_location_map_blank.png', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Victoria_%28Australia%29.svg', 'https://upload.wikimedia.org/wikipedia/en/4/48/Folder_Hexagonal_Icon.svg']",
"Tawonga South","https://en.wikipedia.org/wiki/Tawonga,_Victoria","Tawonga is a town in northeast Victoria, Australia. The town is on the Kiewa Valley Highway, in the Alpine Shire local government area, 350 kilometres northeast of the state capital, Melbourne. At the 2011 census, Tawonga had a population of 588.
Tawonga Post Office opened on 4 October 1879.","https://upload.wikimedia.org/wikipedia/commons/f/fd/TawongaBogongHotel.JPG","Tawonga South.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/f/fd/TawongaBogongHotel.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Australia_Victoria_Alpine_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Ararat","https://en.wikipedia.org/wiki/Ararat,_Victoria","Ararat is a city in south-west Victoria, Australia, about 198 kilometres (120 mi) west of Melbourne, on the Western Highway on the eastern slopes of the Ararat Hills and Cemetery Creek valley between Victoria's Western District and the Wimmera. Its urban population according to the Council's Website is 8,076 and services the region of 11,752 residents across the Rural City's boundaries 
It is the largest settlement in the Rural City of Ararat local government area and is the administrative centre.
The discovery of gold in 1857 during the Victorian gold rush transformed it into a boomtown which continued to prosper until the turn of the 20th century after which it has steadily declined in population. It was proclaimed as a city on 24 May 1950. After a decline in population over the 1980s and 90s, there has been a small but steady increase in the population, and it is the site of many existing and future, large infrastructure projects including the Hopkins Correctional Facility development project.
It is named after Mount Ararat 10 kilometres south west of the town which was named by Horatio Wills in 1841.","https://upload.wikimedia.org/wikipedia/commons/7/77/Barkly_St_to_the_Grampians%2C_Ararat%2C_Vic%2C_jjron%2C_12.01.2011.jpg","Ararat.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/7/77/Barkly_St_to_the_Grampians%2C_Ararat%2C_Vic%2C_jjron%2C_12.01.2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e6/Edward_Roper_-_Gold_diggings%2C_Ararat%2C_1854.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Ararat_hospital.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Ararat_Town_Hall%2C_Ararat%2C_Vic%2C_jjron%2C_12.01.2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/48/Ararat_from_One_Tree_Hill_lookout.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Barkly_street_ararat_1894.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Ararat_city_council_offices.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/VLine-Ararart-Station-0628.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Australia_Victoria_Ararat_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Wikivoyage-Logo-v3-icon.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Moyston","https://en.wikipedia.org/wiki/Moyston,_Victoria","Moyston is a town in the Western District region of Victoria, Australia, near the Grampians mountain range. The town is located in the Rural City of Ararat local government area, 224 kilometres (139 mi) north west of the state capital, Melbourne. At the 2011 census, Moyston and the surrounding area had a population of 356.
Moyston is the self-proclaimed ""Birthplace of Australian Football"", based on its connection to the sport's founder, Tom Wills, who grew up in the area in the 1840s, and, according to some, played Marn Grook with local Aborigines.","https://upload.wikimedia.org/wikipedia/commons/c/cf/Tom_wills_monument_moyston_victoria.jpg","Moyston.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/c/cf/Tom_wills_monument_moyston_victoria.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Entering_Moyston.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Australia_Victoria_Ararat_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Tatyoon","https://en.wikipedia.org/wiki/Tatyoon,_Victoria","Tatyoon is a town in the northern region of Victoria. It is approximately 230 kilometres (140 mi) west of the state's capital, Melbourne. At the 2011 Census, Tatyoon had a population of 326

The local football team, Tatyoon Hawks are a part of the Mininera & District Football League. They won the 1998, 2006, 2007, 2008 and 2011 premierships.

Tatyoon Post Office opened on 1 January 1867 and closed in May 1994","http://www.ararat.vic.gov.au/library/gallery/1260835303_image_lg_tatyoon-large-01.jpg","Tatyoon.jpg","Done","null",
"Lake Bolac","https://en.wikipedia.org/wiki/Lake_Bolac,_Victoria","Lake Bolac is a town in the Western District region of Victoria, Australia, in the Rural City of Ararat, 91 kilometres (57 mi) west of Ballarat. At the 2006 census, Lake Bolac and the surrounding area had a population of 470. The town is on the shores of Lake Bolac, a freshwater lake popular with anglers. The Glenelg Highway passes through the town. Lake Bolac Post Office opened on 1 November 1864.
Lake Bolac has a Prep to year 12 school. There is a caravan park on the lake that is popular in summer with holidaying families.
The football team is combined with nearby town Wickliffe known as the Magpies and plays in the Mininera & District Football League.
Golfers play at the course of the Lake Bolac Golf Club on Mortlake Road.","https://upload.wikimedia.org/wikipedia/commons/8/8b/Lake_Bolac_Shops.JPG","Lake Bolac.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/8/8b/Lake_Bolac_Shops.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Australia_Victoria_Ararat_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Wendouree","https://en.wikipedia.org/wiki/Wendouree,_Victoria","Wendouree is a large suburb on the north western rural-urban fringe of the city of Ballarat, in Victoria, Australia. It is the most populated suburb in the City of Ballarat with a total of 10,752 inhabitants counted at the 2006 Census.
It is named after nearby Lake Wendouree, which derives its name from the Wathaurong word wendaaree, meaning ""be off"" (or ""go away""). It incorporates the unofficial locality of Wendouree West.
Wendouree has the second most important business district in Greater Ballarat, and is also the location of several Ballarat-based commercial and industrial firms.
Landmarks of Wendouree include the Minerdome, the home of the Ballarat Miners and Ballarat Rush; the Ballarat Showgrounds, where the annual Ballarat Show is held; Eureka Stadium, which is the home ground of the North Ballarat VFL (Australian Football) club, and has hosted pre-season Australian Football League matches, the former St Mary's Redemptorist Monastery, Stockland Wendouree shopping centre, and the Wendouree Centre for the Performing Arts.","https://upload.wikimedia.org/wikipedia/commons/4/4a/Eureka_Stadium.jpg","Wendouree.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Eureka_Stadium.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Wendouree_railway_station%2C_Victoria.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Howitt_street_wendouree_vic.jpg', 'https://upload.wikimedia.org/wikipedia/en/6/64/View_west_over_Wendouree_from_the_showgrounds.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Australia_Victoria_Ballarat_City_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Eureka_Flag.svg']",
"Sebastopol","https://en.wikipedia.org/wiki/Sebastopol,_Victoria","Sebastopol is a southern suburb on the rural-urban fringe of Ballarat, Victoria, Australia. It is the second most populated area in urban Ballarat with a population of 9,399 at the 2011 census.
It is named after Sevastopol in Crimea, the site of an important battle during the Crimean War.
Formerly a separate town, Sebastopol had municipal status between 1864 and 1994 after which the Borough of Sebastopol was merged into the City of Ballarat.
Today it is the site of numerous light-industrial businesses and primarily low cost single-family detached homes and is a fringe suburb in Ballarat and also one of the most car dependent areas in the city.","https://upload.wikimedia.org/wikipedia/commons/c/c9/Albert_sebastopol_1866.jpg","Sebastopol.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/c/c9/Albert_sebastopol_1866.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/SebastopolRoyalMailHotel.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Australia_Victoria_Ballarat_City_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Eureka_Flag.svg']",
